1 1 1.0000000000000000e+00
2 1 2.4883557067568934e-08
2 2 -4.9739324518633943e-08
2 3 1.2427883725532506e-08
2 4 1.2427883725532506e-08
3 2 1.2427883725532506e-08
3 3 -2.2961095740265612e-08
3 5 5.2666060073665531e-09
3 6 5.2666060073665531e-09
4 2 1.2427883725532506e-08
4 4 -2.2961095740265612e-08
4 7 5.2666060073665531e-09
4 8 5.2666060073665531e-09
5 3 5.2666060073665531e-09
5 5 -1.0533212014733106e-08
5 9 5.2666060073665531e-09
6 3 5.2666060073665531e-09
6 6 -1.0533212014733106e-08
6 9 5.2666060073665531e-09
7 4 5.2666060073665531e-09
7 7 -1.0533212014733106e-08
7 10 5.2666060073665531e-09
8 4 5.2666060073665531e-09
8 8 -1.0533212014733106e-08
8 10 5.2666060073665531e-09
9 5 5.2666060073665531e-09
9 6 5.2666060073665531e-09
9 9 -2.2961095740265612e-08
9 11 1.2427883725532506e-08
10 7 5.2666060073665531e-09
10 8 5.2666060073665531e-09
10 10 -2.2961095740265612e-08
10 11 1.2427883725532506e-08
11 9 1.2427883725532506e-08
11 10 1.2427883725532506e-08
11 11 -4.9739324518633949e-08
11 12 2.4883557067568934e-08
12 11 2.4883557067568934e-08
12 12 -2.4883557067568934e-08
